id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-sostenible-acab,Acab,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Rey de Israel casado con la malvada Jezabel.,Promovió la adoración de Baal y tuvo continuos enfrentamientos con Elías.,Deseó la viña de Nabot y permitió que su esposa consiguiera su muerte.,"Murió en batalla por una flecha disparada al azar, tal como había anunciado un profeta.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-reyes/16/#v30
teocratico-sostenible-acan,Acán,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Israelita que tomó objetos prohibidos de Jericó.,"Escondió en su tienda una prenda, plata y una barra de oro.",Su pecado hizo que Israel fuera derrotado inicialmente ante la ciudad de Hai.,La selección por tribus y familias descubrió al culpable de violar la prohibición divina.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/josue/7/#v20
teocratico-sostenible-agar,Agar,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Sierva egipcia de Sara y madre de Ismael.,"Huyó al desierto después de sufrir malos tratos, pero un ángel la consoló.",Llamó a Jehová el Dios que ve porque él atendió su aflicción junto a un manantial.,Pablo usó su situación como símbolo del pacto asociado con el monte Sinaí.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/16/#v1
teocratico-sostenible-ana,Ana,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Mujer que oró por un hijo y llegó a ser madre de Samuel.,Prometió dedicar el niño al servicio de Jehová si su oración era atendida.,El sacerdote Elí creyó que estaba ebria porque movía los labios sin emitir sonido.,Luego expresó una oración profética que celebraba cómo Dios humilla y enaltece.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-samuel/1/#v20
teocratico-sostenible-balac,Balac,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Rey que quiso maldecir al pueblo de Israel.,Gobernante de Moab que contrató al profeta Balaam.,Hijo de Zipor aterrorizado al ver el avance israelita hacia su territorio.,Construyó varios altares esperando oír una maldición que nunca llegó.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/numeros/22/#v2
teocratico-sostenible-baruc,Baruc,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Secretario fiel que escribió mensajes de Jeremías.,Hijo de Nerías que puso por escrito un rollo profético.,Compañero de Jeremías que leyó públicamente advertencias en el templo.,"El rey quemó su primer rollo, así que tuvo que escribir otro más extenso.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/jeremias/36/#v4
teocratico-sostenible-berea,Berea,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Ciudad cuyos habitantes examinaban las Escrituras diariamente.,Lugar de Macedonia donde muchos escucharon con mente abierta a Pablo.,Congregación elogiada por verificar cuidadosamente cada enseñanza recibida.,Sus judíos fueron considerados más nobles que los de Tesalónica.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/17/#v10
teocratico-sostenible-bernabe,Bernabé,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Cristiano generoso que acompañó a Pablo como misionero.,Discípulo chipriota cuyo sobrenombre significaba hijo del consuelo.,Hombre que presentó al recién convertido Saulo ante los apóstoles.,Más tarde defendió dar a Marcos una nueva oportunidad de servicio.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/4/#v36
teocratico-sostenible-betsabe,Betsabé,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Madre de Salomón y esposa del rey David.,Mujer que intervino para que David confirmara a Salomón como sucesor.,Esposa de Urías cuya relación inicial con David tuvo consecuencias dolorosas.,Se inclinó ante el anciano rey y le recordó la promesa acerca del trono.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-reyes/1/#v11
teocratico-sostenible-betsaida,Betsaida,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Ciudad cercana al mar de Galilea.,"Lugar de origen de Pedro, Andrés y Felipe.",Localidad donde Jesús devolvió gradualmente la vista a un hombre ciego.,Su nombre significa casa del pescador y recibió una fuerte censura por falta de arrepentimiento.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/marcos/8/#v22
teocratico-sostenible-boaz,Boaz,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Hombre bondadoso que se casó con Rut.,Terrateniente de Belén y pariente de Noemí.,Recomprador que protegió a una viuda moabita y permitió que espigara en sus campos.,Llegó a ser bisabuelo de David después de resolver un asunto legal en la puerta de la ciudad.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/rut/2/#v1
teocratico-sostenible-barca,barca,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Embarcación pequeña usada para viajar sobre el agua.,Bote en el que Jesús y sus discípulos cruzaban el mar de Galilea.,Medio de transporte que protegió a pescadores y pasajeros durante travesías.,Jesús dormía en una cuando una tormenta asustó a sus compañeros.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/marcos/4/#v36
teocratico-sostenible-becerro,becerro,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Cría de la vaca mencionada en muchos relatos bíblicos.,Animal joven que podía ofrecerse como sacrificio o prepararse como alimento.,Figura de oro que los israelitas adoraron mientras Moisés estaba en la montaña.,Aarón afirmó que salió del fuego después de recibir las joyas del pueblo.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/exodo/32/#v4
teocratico-sostenible-beso,beso,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Gesto de cariño dado con los labios.,Señal de afecto usada para saludar a familiares y amigos.,Acción que también podía emplearse hipócritamente para identificar a una persona.,Judas la convirtió en la señal convenida para entregar a Jesús.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/26/#v48
teocratico-sostenible-boda,boda,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Celebración del matrimonio de dos personas.,"Fiesta que reúne a novios, familiares e invitados.",Acontecimiento social en el que Jesús realizó su primer milagro registrado.,En Caná se acabó el vino durante una celebración de esta clase.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/2/#v1
teocratico-sostenible-buey,buey,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Animal fuerte usado antiguamente para arar campos.,Ganado vacuno empleado para trabajo y alimento.,La Ley prohibía ponerle bozal mientras trillaba el grano.,Pablo aplicó aquella norma al derecho de recibir apoyo por el trabajo espiritual.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/deuteronomio/25/#v4
teocratico-sostenible-balaam,Balaam,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Hombre cuya burra habló después de ver un ángel.,"Balac lo contrató para maldecir a Israel, pero Jehová convirtió sus palabras en bendiciones.",Amaba la recompensa injusta y aconsejó una trampa inmoral contra el pueblo de Dios.,"Aunque pronunció profecías verdaderas, murió cuando Israel derrotó a Madián.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/numeros/22/#v28
teocratico-sostenible-barac,Barac,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Juez israelita que combatió junto a la profetisa Débora.,Reunió diez mil hombres en el monte Tabor para enfrentar al ejército de Sísara.,Aceptó la misión con la condición de que Débora lo acompañara.,Hebreos lo incluye entre quienes por fe se hicieron poderosos en la guerra.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/jueces/4/#v6
teocratico-sostenible-barrabas,Barrabás,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Prisionero liberado en lugar de Jesús.,Era un delincuente acusado de sedición y asesinato contra las autoridades.,La multitud pidió su libertad cuando Pilato ofreció soltar a un preso.,Su liberación hizo especialmente visible que un culpable quedó libre mientras el inocente fue condenado.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/27/#v26
teocratico-sostenible-bartimeo,Bartimeo,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Mendigo ciego que llamó a Jesús cerca de Jericó.,Gritó “Hijo de David” aunque muchos intentaron hacerlo callar.,"Arrojó su manto, se acercó y pidió recuperar la vista.",Marcos conserva su nombre arameo y explica que era hijo de Timeo.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/marcos/10/#v46
teocratico-sostenible-bartolome,Bartolomé,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Uno de los doce apóstoles escogidos por Jesús.,Aparece en las listas apostólicas normalmente asociado con Felipe.,"Muchos lo identifican con Natanael, a quien Felipe llevó ante Cristo.","Su nombre patronímico significa “hijo de Tolmái”, por lo que quizá no fuera un nombre personal.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/10/#v3
teocratico-sostenible-benjamin,Benjamín,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Hijo menor de Jacob y hermano de José.,Raquel murió al darle a luz y primero lo llamó Ben-Oní.,"Su padre cambió aquel nombre, que significaba hijo de mi duelo, por otro más favorable.",La tribu descendiente de él produjo al rey Saúl y permaneció unida a Judá.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/35/#v18
teocratico-sostenible-betel,Betel,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,Lugar donde Jacob soñó con una escalera al cielo.,Su nombre significa casa de Dios y antes la ciudad se llamaba Luz.,Jacob levantó allí una piedra conmemorativa y prometió servir a Jehová.,Más tarde Jeroboán contaminó el lugar instalando uno de sus becerros de oro.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/28/#v19
teocratico-sostenible-betania,Betania,,B,empieza,teocratico,relato-biblico-infantil|sostenible,1,"Aldea donde vivían Marta, María y Lázaro.","Estaba cerca de Jerusalén, en la ladera oriental del monte de los Olivos.",Jesús resucitó allí a su amigo después de cuatro días en la tumba.,Desde sus alrededores ascendió al cielo tras bendecir a los discípulos.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/11/#v1
teocratico-sostenible-campo,campo,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Terreno donde se siembran plantas o pastan animales.,Espacio de cultivo que necesita trabajo antes de producir alimento.,"Tierra abierta distinta de una ciudad, usada a menudo para sembrar y cosechar.",Superficie agrícola mencionada desde Génesis al describir vegetación que aún no había brotado.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/2/#v5
teocratico-sostenible-carcel,cárcel,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Lugar cerrado donde mantienen a un prisionero.,Edificio vigilado del que una persona no puede salir libremente.,Sitio al que José fue enviado aunque no había cometido el delito del que lo acusaron.,Institución de reclusión donde el hebreo conservó integridad y acabó recibiendo responsabilidades.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/39/#v20
teocratico-sostenible-carta,carta,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Mensaje escrito que se envía a otra persona.,Texto dirigido a alguien que está lejos para comunicarle información.,Documento que los apóstoles mandaron a congregaciones con una decisión importante.,Comunicación escrita cuya lectura confirmó requisitos acordados por el cuerpo gobernante del siglo primero.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/15/#v23
teocratico-sostenible-ceguera,ceguera,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Condición de una persona que no puede ver.,Pérdida total o muy grande del sentido de la vista.,Discapacidad que tenía desde su nacimiento el hombre al que Jesús curó.,Privación visual que en Juan 9 permitió distinguir una limitación física de la falta de percepción espiritual.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/9/#v1
teocratico-sostenible-cena,cena,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Comida que normalmente se toma al final del día.,Alimento compartido por la tarde o la noche.,Última comida de Jesús con sus apóstoles antes de morir.,Comida pascual durante la cual Cristo instituyó una conmemoración con pan y vino.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/22/#v20
teocratico-sostenible-creacion,creación,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Acción de hacer que algo nuevo llegue a existir.,Conjunto de cosas vivas y no vivas hechas por Dios.,Obra que comenzó con los cielos y la Tierra según las primeras palabras de Génesis.,Resultado del poder y propósito divinos que abarca el universo y todas sus formas de vida.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/1/#v1
teocratico-sostenible-creador,Creador,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Persona que hace que algo exista.,Título de Jehová porque dio origen a la vida y al universo.,Aquel a quien Eclesiastés aconseja recordar durante la juventud.,Designación divina que reconoce a Dios como fuente de existencia y autoridad sobre sus obras.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/eclesiastes/12/#v1
teocratico-sostenible-consejo,consejo,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Recomendación que ayuda a tomar una buena decisión.,Orientación ofrecida por alguien con experiencia o sabiduría.,Instrucción que conviene escuchar para llegar a ser sabio en el futuro.,Advertencia razonada cuya aceptación permite corregir el rumbo y adquirir discernimiento.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/proverbios/19/#v20
teocratico-sostenible-confianza,confianza,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Seguridad de que alguien es bueno y cumplirá su palabra.,Actitud que permite depender de una persona fiel sin temor constante.,Cualidad que Proverbios anima a poner en Jehová y no solo en el propio entendimiento.,Convicción firme en la fiabilidad divina que orienta decisiones aun cuando no se comprenda todo el camino.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/proverbios/3/#v5
teocratico-sostenible-compasion,compasión,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Pena por quien sufre que nos mueve a ayudar.,Sentimiento bondadoso que se convierte en una acción útil.,Cualidad que impulsó al samaritano a atender al hombre herido del camino.,Sensibilidad ante el dolor ajeno demostrada mediante cuidado práctico sin barreras de origen o religión.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/10/#v33
teocratico-sostenible-cordero,cordero,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Cría joven y mansa que nace de una oveja.,Animal joven y manso que se usaba en ciertos sacrificios.,Figura con la que Juan el Bautista identificó a Jesús ante sus discípulos.,Víctima sacrificial que representa la inocencia de Cristo y el valor de su muerte para quitar el pecado.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/1/#v29
teocratico-sostenible-canasta,canasta,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Recipiente tejido que sirve para guardar o transportar cosas.,Cesto ligero hecho con fibras o tallos entrelazados.,Objeto impermeabilizado en el que la madre de Moisés puso al bebé junto al Nilo.,Pequeña cesta de papiro cuya preparación protegió al futuro libertador de Israel del decreto del faraón.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/exodo/2/#v3
teocratico-sostenible-cadena,cadena,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Serie de aros unidos unos con otros.,Objeto de metal que puede sujetar a un prisionero.,Atadura que cayó de las manos de Pedro cuando un ángel lo liberó.,Instrumento de restricción que no pudo impedir la liberación milagrosa del apóstol encarcelado.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/12/#v6
teocratico-sostenible-calamidad,calamidad,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Desgracia grande que causa mucho daño.,Suceso inesperado que trae sufrimiento o pérdidas.,Peligro que puede atrapar de repente a personas que no conocen su momento.,Acontecimiento adverso de gran alcance cuya imprevisibilidad Eclesiastés compara con una trampa repentina.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/eclesiastes/9/#v12
teocratico-sostenible-calumnia,calumnia,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Mentira que se dice para dañar la fama de alguien.,Acusación falsa difundida contra una persona inocente.,Forma de ataque verbal que Jesús dijo que sus discípulos podrían sufrir.,Imputación maliciosa y falsa que exige aguante sin abandonar una conducta limpia.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/5/#v11
teocratico-sostenible-canto,canto,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Palabras y música producidas con la voz.,Composición que puede expresar alegría y agradecimiento.,Alabanza que Moisés y los israelitas entonaron después de cruzar el mar Rojo.,Expresión poética y musical que celebró la victoria de Jehová sobre el ejército egipcio.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/exodo/15/#v1
teocratico-sostenible-capacidad,capacidad,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Habilidad o fuerza para realizar una tarea.,Lo que una persona puede hacer según sus aptitudes y recursos.,Medida que el amo de la parábola tuvo en cuenta al repartir talentos.,Aptitud individual que genera responsabilidad proporcional por el uso de lo recibido.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/25/#v15
teocratico-sostenible-codicia,codicia,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Deseo egoísta de tener cada vez más cosas.,Ganas excesivas de poseer dinero o bienes ajenos.,Actitud contra la que Jesús advirtió porque la vida no depende de las posesiones.,Apetito desordenado por acumular que desplaza valores espirituales y nunca queda satisfecho.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/12/#v15
teocratico-sostenible-conciencia,conciencia,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Voz interior que ayuda a notar si algo está bien o mal.,Capacidad de juzgar la propia conducta y sentir aprobación o culpa.,Facultad que Pablo se esforzaba por mantener limpia ante Dios y los hombres.,Testigo moral interno que necesita educación bíblica para evaluar correctamente decisiones y motivos.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/24/#v16
teocratico-sostenible-consuelo,consuelo,,C,empieza,teocratico,relato-biblico-infantil|sostenible,1,Ayuda que alivia la tristeza o el dolor.,Ánimo recibido mediante palabras y acciones bondadosas.,Alivio que Dios da en las pruebas y que después podemos compartir con otros.,Fortaleza emocional y espiritual procedente del Padre de tiernas misericordias en toda clase de dificultades.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/2-corintios/1/#v3
teocratico-sostenible-dia,día,,D,empieza,teocratico,relato-biblico-infantil|sostenible,1,Tiempo de luz entre la mañana y la noche.,Periodo que también puede referirse a veinticuatro horas.,Nombre que Dios dio a la luz al comenzar a preparar la Tierra.,Unidad temporal cuyo sentido bíblico depende del contexto y puede abarcar más que una jornada solar.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/1/#v5
