id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-yate,yate,,Y,empieza,general,general,1,"Embarcación de recreo usada para pasear o viajar.","Barco destinado principalmente al ocio que puede navegar a vela o a motor.","Nave privada de recreo cuyo equipamiento suele priorizar el confort de sus ocupantes.",Diccionario de la lengua española,https://dle.rae.es/yate
general-yegua,yegua,,Y,empieza,general,general,1,"Hembra adulta del caballo.","Animal equino femenino que puede emplearse para montar criar o trabajar.","Nombre específico de la hembra de la especie caballar una vez alcanzada la edad adulta.",Diccionario de la lengua española,https://dle.rae.es/yegua
general-yema,yema,,Y,empieza,general,general,1,"Parte amarilla que está dentro del huevo.","Porción central y nutritiva del huevo rodeada por la clara.","Cuerpo vitelino del huevo cuyo nombre también designa un brote vegetal o la punta de un dedo.",Diccionario de la lengua española,https://dle.rae.es/yema
general-yeso,yeso,,Y,empieza,general,general,1,"Material blanco usado en paredes y para inmovilizar huesos rotos.","Sulfato de calcio que al mezclarse con agua forma una pasta que se endurece.","Mineral y producto calcinado empleado en construcción moldes y vendajes rígidos.",Diccionario de la lengua española,https://dle.rae.es/yeso
general-yogur,yogur,,Y,empieza,general,general,1,"Alimento cremoso hecho con leche fermentada.","Producto lácteo obtenido por la acción de determinadas bacterias sobre la leche.","Preparación de origen fermentativo cuya acidez y textura proceden de cultivos microbianos.",Diccionario de la lengua española,https://dle.rae.es/yogur
general-yunque,yunque,,Y,empieza,general,general,1,"Bloque de hierro sobre el que un herrero golpea el metal.","Pieza maciza con superficie plana usada como apoyo para forjar metales.","Soporte resistente del taller metalúrgico que recibe los golpes del martillo durante la forja.",Diccionario de la lengua española,https://dle.rae.es/yunque
general-zafiro,zafiro,,Z,empieza,general,general,1,"Piedra preciosa generalmente de color azul.","Variedad transparente y valiosa del corindón usada en joyería.","Gema de gran dureza cuyo tono clásico se debe a impurezas presentes en su estructura cristalina.",Diccionario de la lengua española,https://dle.rae.es/zafiro
general-zanja,zanja,,Z,empieza,general,general,1,"Excavación larga y estrecha hecha en el suelo.","Corte alargado de la tierra usado para desaguar colocar tuberías o marcar límites.","Surco artificial de profundidad apreciable abierto con una finalidad constructiva defensiva o hidráulica.",Diccionario de la lengua española,https://dle.rae.es/zanja
general-zapato,zapato,,Z,empieza,general,general,1,"Calzado que cubre el pie y suele tener suela.","Prenda rígida o semirrígida que protege el pie al caminar.","Pieza de indumentaria compuesta por una cubierta y una suela adaptadas a la forma del pie.",Diccionario de la lengua española,https://dle.rae.es/zapato
general-zarza,zarza,,Z,empieza,general,general,1,"Arbusto con ramas espinosas que puede producir moras.","Planta silvestre de tallos largos y espinas que suele formar matorrales densos.","Arbusto de la familia de las rosáceas cuyas ramas arqueadas se enredan con facilidad.",Diccionario de la lengua española,https://dle.rae.es/zarza
general-zocalo,zócalo,zocalo,Z,empieza,general,general,1,"Franja que protege la parte baja de una pared.","Revestimiento inferior de un muro que puede cumplir una función decorativa o protectora.","Cuerpo o banda colocado al pie de una construcción y que también puede servir de base a una obra.",Diccionario de la lengua española,https://dle.rae.es/zócalo
general-zoologico,zoológico,zoologico,Z,empieza,general,general,1,"Lugar donde se mantienen animales de distintas especies para mostrarlos al público.","Recinto con instalaciones destinadas a cuidar exhibir y estudiar animales.","Establecimiento que reúne fauna viva con fines de conservación educación investigación o exposición.",Diccionario de la lengua española,https://dle.rae.es/zoológico
general-zorro,zorro,,Z,empieza,general,general,1,"Mamífero salvaje parecido a un perro y de cola peluda.","Cánido de hocico puntiagudo conocido por su agilidad y comportamiento astuto.","Nombre común de diversos cánidos de tamaño mediano y hábitos generalmente oportunistas.",Diccionario de la lengua española,https://dle.rae.es/zorro
general-zafar,zafar,,Z,empieza,general,lunfardo|argentinismo,1,"En Argentina librarse de un problema o una obligación.","Verbo coloquial usado para indicar que alguien logra escapar de una situación difícil.","Voz frecuente en el habla rioplatense que expresa la acción de eludir un compromiso o salir apenas de un apuro.",Diccionario de la lengua española,https://dle.rae.es/zafar
