id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-texto-griego-erasmo,texto griego de Erasmo,edición griega de Erasmo,X,contiene,teocratico,glosario-biblico,1,"Primera edición impresa en griego de las Escrituras Cristianas, publicada en 1516.","Obra preparada por un erudito neerlandés comparando los manuscritos disponibles.","Edición crítica renacentista que influyó en traducciones de Lutero y Tyndale.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/texto-griego-de-Erasmo/
teocratico-texto-masoretico,texto masorético,,X,contiene,teocratico,glosario-biblico,1,"Texto hebreo de las Escrituras copiado y vocalizado por los masoretas.","Tradición manuscrita que añadió signos vocálicos y notas para conservar la lectura hebrea.","Base medieval cuidadosamente transmitida de muchas traducciones de las Escrituras Hebreas.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/texto-masoretico/
teocratico-yugo,yugo,,Y,contiene,teocratico,glosario-biblico,1,"Pieza colocada sobre animales para que tiren juntos de una carga.","Instrumento de madera que también simboliza sujeción, trabajo o autoridad.","Figura que Jesús empleó al invitar a aceptar su guía y aprender de él.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/yugo/
teocratico-ayuno,ayuno,,Y,contiene,teocratico,glosario-biblico,1,"Abstención voluntaria de alimento durante un tiempo.","Práctica asociada a duelo, arrepentimiento u oración intensa.","Privación temporal que bajo la Ley solo se exigía expresamente en una ocasión anual.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/ayuno/
teocratico-higayon,higayón,,Y,contiene,teocratico,glosario-biblico,1,"Término musical hebreo que aparece en algunos salmos.","Indicación cuyo sentido puede relacionarse con meditación o sonido suave de arpa.","Anotación de significado incierto presente en Salmo 9:16 y 92:3.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/higayon/
teocratico-ley,ley,,Y,contiene,teocratico,glosario-biblico,1,"Norma o conjunto de mandatos establecidos por una autoridad.","En la Biblia puede aludir a una regla concreta o al cuerpo legal dado a Israel.","Término que también puede describir un principio constante que guía la conducta.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/ley/
teocratico-rey,rey,monarca,Y,contiene,teocratico,perspicacia-biblica,1,"Gobernante soberano de una nación o territorio.","Título de quien ocupa la máxima autoridad civil, normalmente por sucesión o designación.","Cargo que en Israel debía mantenerse sujeto a la Ley y no sustituía la soberanía de Jehová.","Perspicacia para comprender las Escrituras",https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Rey/
teocratico-alfa-y-omega,alfa y omega,,Y,contiene,teocratico,glosario-biblico,1,"Primera y última letras del alfabeto griego usadas juntas como título.","Expresión de Revelación que comunica la idea de principio y fin o totalidad.","Par de caracteres extremos con el que Jehová garantiza que inicia y completa sus propósitos.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/alfa-y-omega/
teocratico-tyndale-william,Tyndale William,"William Tyndale|Tyndale, William",Y,contiene,teocratico,glosario-biblico,1,"Traductor inglés que publicó las Escrituras Griegas Cristianas en inglés en 1526.","Erudito ejecutado en 1536 cuya obra influyó en importantes Biblias inglesas posteriores.","Pionero que tradujo de los idiomas originales y empleó la forma Iehouah en el Pentateuco.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/Tyndale-William/
teocratico-hort-fenton-john-anthony,Hort Fenton John Anthony,"Fenton John Anthony Hort|Hort, Fenton John Anthony",Y,contiene,teocratico,glosario-biblico,1,"Biblista que preparó con Westcott una influyente edición del texto griego cristiano.","Profesor de Cambridge que publicó con un colega The New Testament in the Original Greek en 1881.","Erudito nacido en Dublín cuya edición académica se consultó para la Traducción del Nuevo Mundo.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/fenton-john-anthony-hort/
teocratico-zelote,zelote,celota,Z,contiene,teocratico,glosario-biblico,1,"Miembro de un movimiento judío que se oponía al dominio romano.","Nacionalista dispuesto a usar la fuerza para liberar a Judea de Roma.","Nombre de una corriente política del siglo primero asociado también al apóstol Simón.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/zelote/
teocratico-zeus,Zeus,,Z,contiene,teocratico,glosario-biblico,1,"Dios principal de la mitología griega.","Divinidad pagana que los romanos identificaban con Júpiter.","Deidad a la que los habitantes de Listra creyeron que Bernabé representaba.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/zeus/
teocratico-ziv,ziv,,Z,contiene,teocratico,glosario-biblico,1,"Nombre antiguo del segundo mes del calendario sagrado judío.","Mes que corresponde aproximadamente a abril y mayo y más tarde se llamó iyar.","Periodo en el que Salomón comenzó a construir el templo.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/ziv/
teocratico-azazel,Azazel,,Z,contiene,teocratico,glosario-biblico,1,"Nombre asociado con el macho cabrío enviado al desierto en una ceremonia anual.","Designación del animal que simbólicamente se llevaba lejos los pecados de Israel.","Término de significado discutido presente en el ritual del décimo día de etanim.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/azazel/
teocratico-azote,azote,flagelo,Z,contiene,teocratico,glosario-biblico,1,"Látigo o instrumento usado para castigar con golpes.","Castigo severo que podía aplicarse con correas o varas.","Término que también se usa en sentido figurado para una calamidad destructiva.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/azote/
teocratico-lazaro,Lázaro,,Z,contiene,teocratico,perspicacia-biblica,1,"Amigo de Jesús que llevaba cuatro días muerto cuando fue devuelto a la vida.","Hermano de Marta y María que vivía en Betania.","Hombre cuya salida de una tumba provocó que muchos testigos pusieran fe en Cristo.","Perspicacia para comprender las Escrituras",https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/L%C3%A1zaro/
teocratico-uzias,Uzías,Azarías,Z,contiene,teocratico,perspicacia-biblica,1,"Rey de Judá que prosperó mientras buscó a Jehová pero se volvió orgulloso.","Gobernante que intentó quemar incienso en el templo y fue herido de lepra.","Monarca de dos nombres cuyo largo reinado terminó bajo aislamiento ceremonial.","Perspicacia para comprender las Escrituras",https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Uz%C3%ADas/
teocratico-tizon,tizón,leño quemado,Z,contiene,teocratico,glosario-biblico,1,"Trozo de madera parcialmente quemado que aún puede arder.","Leño chamuscado usado en la Biblia como imagen de alguien librado por poco.","Objeto ennegrecido que una visión de Zacarías compara con un hombre salvado del fuego.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/tizon/
