id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-puente,puente,,P,empieza,general,general,1,"Construcción que permite cruzar un río o un camino.","Obra elevada que une dos lados separados por un obstáculo.","Estructura tendida sobre una depresión o vía para asegurar la continuidad del tránsito.",Diccionario de la lengua española,https://dle.rae.es/puente
general-pibe,pibe,,P,empieza,general,lunfardo|argentinismo,1,"En Argentina niño o muchacho.","Forma coloquial rioplatense de llamar a una persona joven.","Voz popular argentina equivalente a chico o muchacho.",Diccionario de la lengua española,https://dle.rae.es/pibe
general-piola,piola,,P,empieza,general,lunfardo|argentinismo,1,"En Argentina alguien simpático astuto o agradable.","Adjetivo coloquial rioplatense que elogia a una persona despierta o buena onda.","Voz popular argentina que puede calificar a quien actúa con viveza o resulta afable.",Diccionario de la lengua española,https://dle.rae.es/piola
general-quebrada,quebrada,,Q,empieza,general,general,1,"Paso estrecho entre montañas formado por un río o arroyo.","Valle angosto y profundo abierto por la erosión en un terreno montañoso.","Hendidura abrupta del relieve por cuyo fondo suele correr una corriente de agua.",Diccionario de la lengua española,https://dle.rae.es/quebrada
general-queja,queja,,Q,empieza,general,general,1,"Expresión de dolor descontento o protesta.","Manifestación con la que una persona comunica que algo le molesta o parece injusto.","Declaración de disconformidad motivada por un perjuicio una pena o una contrariedad.",Diccionario de la lengua española,https://dle.rae.es/queja
general-quemadura,quemadura,,Q,empieza,general,general,1,"Lesión en la piel causada por fuego o mucho calor.","Daño producido en los tejidos por contacto térmico químico eléctrico o radiación.","Alteración orgánica resultante de la acción de un agente capaz de abrasar.",Diccionario de la lengua española,https://dle.rae.es/quemadura
general-queroseno,queroseno,,Q,empieza,general,general,1,"Combustible líquido usado en lámparas estufas y aviones.","Derivado del petróleo que sirve como combustible y tiene un punto de ebullición intermedio.","Fracción líquida de hidrocarburos situada por su volatilidad entre la gasolina y el gasóleo.",Diccionario de la lengua española,https://dle.rae.es/queroseno
general-queso,queso,,Q,empieza,general,general,1,"Alimento hecho al cuajar la leche.","Producto lácteo sólido obtenido al separar y madurar la cuajada.","Masa alimenticia resultante de coagular la leche y eliminar parte de su suero.",Diccionario de la lengua española,https://dle.rae.es/queso
general-quiosco,quiosco,kiosco,Q,empieza,general,general,1,"Puesto pequeño donde se venden diarios golosinas y otros productos.","Construcción de tamaño reducido instalada en la calle para atender al público.","Templete o pabellón ligero que puede destinarse a la venta de mercancías.",Diccionario de la lengua española,https://dle.rae.es/quiosco
general-quipu,quipu,,Q,empieza,general,general,1,"Sistema de cuerdas y nudos usado por los incas para contar.","Conjunto de cordones anudados con el que los pueblos andinos registraban información.","Instrumento mnemotécnico del ámbito incaico que codificaba cantidades mediante nudos y colores.",Diccionario de la lengua española,https://dle.rae.es/quipu
general-quilombo,quilombo,,Q,empieza,general,lunfardo|argentinismo,1,"En Argentina lío desorden o situación complicada.","Voz coloquial rioplatense empleada para nombrar un gran alboroto o problema.","Término popular argentino que designa una situación confusa escandalosa o difícil de resolver.",Diccionario de la lengua española,https://dle.rae.es/quilombo
general-radar,radar,,R,empieza,general,general,1,"Sistema que detecta objetos lejanos mediante ondas de radio.","Dispositivo que localiza y mide la distancia o velocidad de un objeto enviando señales electromagnéticas.","Método de detección cuya información procede del eco de ondas radioeléctricas.",Diccionario de la lengua española,https://dle.rae.es/radar
general-raiz,raíz,raiz,R,empieza,general,general,1,"Parte de una planta que crece bajo tierra y absorbe agua.","Órgano vegetal que fija la planta al suelo y toma de él nutrientes.","Estructura normalmente subterránea carente de hojas que sostiene y alimenta al vegetal.",Diccionario de la lengua española,https://dle.rae.es/raíz
general-relampago,relámpago,relampago,R,empieza,general,general,1,"Destello de luz que aparece durante una tormenta.","Resplandor muy breve producido en las nubes por una descarga eléctrica.","Manifestación luminosa instantánea que acompaña a un fenómeno eléctrico atmosférico.",Diccionario de la lengua española,https://dle.rae.es/relámpago
general-reloj,reloj,,R,empieza,general,general,1,"Aparato que sirve para saber la hora.","Instrumento que mide el paso del tiempo y lo muestra con agujas o números.","Mecanismo regulado por oscilaciones uniformes que divide y señala unidades temporales.",Diccionario de la lengua española,https://dle.rae.es/reloj
general-remedio,remedio,,R,empieza,general,general,1,"Medicina o solución usada para curar o aliviar un mal.","Sustancia procedimiento o recurso con el que se intenta corregir una enfermedad o problema.","Medio al que se recurre para reparar un daño o mitigar una dolencia.",Diccionario de la lengua española,https://dle.rae.es/remedio
general-rueda,rueda,,R,empieza,general,general,1,"Pieza circular que gira y permite mover un vehículo.","Disco que rota alrededor de un eje y facilita el desplazamiento.","Órgano mecánico de contorno circular cuya rotación reduce el rozamiento en el transporte.",Diccionario de la lengua española,https://dle.rae.es/rueda
general-rumba,rumba,,R,empieza,general,general,1,"Baile y música de origen cubano.","Género musical antillano de ritmo marcado acompañado de canto y percusión.","Expresión festiva afrocubana que pasó de formas populares a estilos de baile internacional.",Diccionario de la lengua española,https://dle.rae.es/rumba
general-rajar,rajar,,R,empieza,general,lunfardo|argentinismo,1,"En Argentina irse rápidamente de un lugar.","Verbo coloquial que en el habla rioplatense puede significar escapar o marcharse.","Voz popular argentina empleada para ordenar o describir una retirada apresurada.",Diccionario de la lengua española,https://dle.rae.es/rajar
